epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.7059,1.94342,2.35309,1.27213,0.46176,0.27897,0.37634,0.28305,1.45496,1.1838,1.09929,0.00332664,0.00332664,0.00332664
2,174.515,1.53726,1.14178,1.08368,0.63851,0.35257,0.43493,0.3281,1.28064,1.00392,1.02954,0.00659404,0.00659404,0.00659404
3,252.077,1.47144,1.04818,1.0507,0.62917,0.43846,0.52247,0.37833,1.26663,0.9692,1.0048,0.00979544,0.00979544,0.00979544
4,329.122,1.38283,0.97372,1.01765,0.64997,0.51839,0.57737,0.40729,1.16029,0.86192,0.98165,0.009703,0.009703,0.009703
5,407.883,1.29051,0.907,0.99085,0.69406,0.51084,0.60324,0.427,1.08557,0.83707,0.96107,0.009604,0.009604,0.009604
6,484.359,1.23526,0.87147,0.97612,0.69202,0.56124,0.63166,0.45192,1.05847,0.8127,0.95408,0.009505,0.009505,0.009505
7,563.634,1.18716,0.83947,0.9653,0.7158,0.58214,0.6594,0.47883,0.99946,0.77056,0.93837,0.009406,0.009406,0.009406
8,641.194,1.15666,0.82261,0.95665,0.74235,0.59342,0.66891,0.48574,0.97946,0.75359,0.93335,0.009307,0.009307,0.009307
9,719.398,1.12914,0.8031,0.95022,0.70672,0.61474,0.66121,0.47546,0.99591,0.75934,0.93269,0.009208,0.009208,0.009208
10,796.851,1.10074,0.7854,0.94425,0.73362,0.60692,0.68011,0.4976,0.96634,0.73227,0.92458,0.009109,0.009109,0.009109
11,873.954,1.08886,0.77449,0.9401,0.73399,0.62903,0.68923,0.51421,0.91729,0.70123,0.91759,0.00901,0.00901,0.00901
12,952.821,1.06723,0.75961,0.93495,0.73225,0.64301,0.69647,0.51443,0.91584,0.69337,0.91778,0.008911,0.008911,0.008911
13,1031.5,1.05148,0.75139,0.93224,0.74914,0.6314,0.69951,0.51689,0.9012,0.68886,0.91006,0.008812,0.008812,0.008812
14,1109.87,1.03535,0.74075,0.92881,0.69652,0.64201,0.69532,0.51338,0.90848,0.69643,0.9122,0.008713,0.008713,0.008713
15,1186.55,1.02534,0.73197,0.92635,0.70637,0.642,0.69157,0.50935,0.92851,0.69377,0.91602,0.008614,0.008614,0.008614
16,1262.8,1.01098,0.72384,0.92434,0.71211,0.65049,0.70263,0.51232,0.90542,0.68126,0.90774,0.008515,0.008515,0.008515
17,1341.67,1.00365,0.71607,0.92199,0.72872,0.68087,0.72026,0.53117,0.86118,0.65804,0.90136,0.008416,0.008416,0.008416
18,1420.32,0.99916,0.71422,0.92152,0.71889,0.66965,0.71149,0.52921,0.869,0.65337,0.90046,0.008317,0.008317,0.008317
19,1499.1,0.98593,0.70469,0.91794,0.72007,0.69549,0.73056,0.54129,0.86331,0.65357,0.89693,0.008218,0.008218,0.008218
20,1576.59,0.97705,0.69767,0.91712,0.72662,0.69434,0.731,0.53939,0.84537,0.63576,0.8973,0.008119,0.008119,0.008119
21,1651.75,0.96842,0.69296,0.91651,0.73395,0.69061,0.73343,0.54615,0.85692,0.64383,0.8964,0.00802,0.00802,0.00802
22,1725.9,0.96783,0.68933,0.91381,0.7418,0.69158,0.73636,0.54666,0.85012,0.63274,0.89237,0.007921,0.007921,0.007921
23,1804.52,0.95613,0.68368,0.91204,0.7374,0.69442,0.73355,0.54281,0.84083,0.63235,0.89421,0.007822,0.007822,0.007822
24,1882.4,0.95217,0.68009,0.91181,0.72525,0.71154,0.7421,0.55417,0.83242,0.62412,0.89333,0.007723,0.007723,0.007723
25,1961.79,0.9535,0.67847,0.91014,0.7442,0.68965,0.73571,0.55126,0.83196,0.62655,0.89287,0.007624,0.007624,0.007624
26,2040.73,0.94497,0.6733,0.90926,0.75223,0.69396,0.74245,0.55638,0.82527,0.61672,0.89288,0.007525,0.007525,0.007525
27,2119.92,0.94064,0.6702,0.90865,0.75622,0.70235,0.74973,0.56503,0.81097,0.61325,0.88873,0.007426,0.007426,0.007426
28,2199.17,0.93551,0.66674,0.90826,0.74474,0.69802,0.74444,0.55649,0.82379,0.61944,0.89039,0.007327,0.007327,0.007327
29,2277.95,0.93076,0.66297,0.90671,0.75195,0.70957,0.75082,0.56415,0.80654,0.61305,0.88748,0.007228,0.007228,0.007228
30,2356.5,0.92281,0.66034,0.90602,0.74124,0.71344,0.74461,0.56196,0.81473,0.61288,0.88729,0.007129,0.007129,0.007129
31,2435.56,0.92093,0.65623,0.9045,0.75364,0.71203,0.75322,0.56558,0.80005,0.60002,0.8874,0.00703,0.00703,0.00703
32,2514.06,0.92025,0.65553,0.90431,0.76345,0.71514,0.75902,0.56976,0.80064,0.6011,0.88458,0.006931,0.006931,0.006931
33,2592.32,0.9155,0.65278,0.90392,0.75947,0.71584,0.76117,0.5747,0.79639,0.59419,0.88653,0.006832,0.006832,0.006832
34,2671.42,0.91044,0.65014,0.90334,0.76715,0.71669,0.76534,0.57785,0.79752,0.59783,0.885,0.006733,0.006733,0.006733
35,2750.54,0.90921,0.64668,0.90205,0.76436,0.71535,0.76256,0.57545,0.78997,0.59696,0.88109,0.006634,0.006634,0.006634
36,2829.48,0.90679,0.6447,0.90203,0.76892,0.7267,0.76944,0.58179,0.79289,0.59287,0.88308,0.006535,0.006535,0.006535
37,2908.81,0.90137,0.64181,0.89998,0.77398,0.72401,0.76894,0.58389,0.78665,0.58691,0.88278,0.006436,0.006436,0.006436
38,2987.13,0.89884,0.64144,0.90072,0.78219,0.71694,0.77017,0.5837,0.78678,0.58919,0.88233,0.006337,0.006337,0.006337
39,3065.05,0.89213,0.63694,0.89857,0.77259,0.72043,0.77075,0.58841,0.78238,0.58656,0.88202,0.006238,0.006238,0.006238
40,3142.36,0.89131,0.63354,0.89736,0.76967,0.72561,0.7732,0.5918,0.78625,0.58748,0.88134,0.006139,0.006139,0.006139
41,3220.25,0.88918,0.63444,0.89966,0.78024,0.71737,0.77121,0.59233,0.77092,0.58363,0.88007,0.00604,0.00604,0.00604
42,3298.01,0.88725,0.63155,0.89849,0.77829,0.73645,0.78021,0.59188,0.77347,0.57749,0.88091,0.005941,0.005941,0.005941
43,3376.02,0.8842,0.62973,0.89727,0.77801,0.73118,0.77182,0.59151,0.77111,0.57934,0.87915,0.005842,0.005842,0.005842
44,3455.27,0.88079,0.62787,0.89715,0.78732,0.72836,0.77738,0.59373,0.77123,0.57797,0.87968,0.005743,0.005743,0.005743
45,3535.24,0.87481,0.62371,0.89621,0.78433,0.73687,0.77793,0.59485,0.76964,0.57656,0.87853,0.005644,0.005644,0.005644
46,3613.44,0.87424,0.62319,0.89579,0.76491,0.74069,0.77659,0.59476,0.76894,0.57536,0.87896,0.005545,0.005545,0.005545
47,3691.76,0.87466,0.62247,0.8962,0.7766,0.74033,0.77909,0.59414,0.76744,0.57594,0.87776,0.005446,0.005446,0.005446
48,3767.39,0.87105,0.61988,0.89549,0.78096,0.74645,0.7824,0.59973,0.76748,0.57322,0.87771,0.005347,0.005347,0.005347
49,3842.23,0.87165,0.62028,0.89536,0.77967,0.73694,0.78074,0.59907,0.76094,0.57149,0.87658,0.005248,0.005248,0.005248
50,3920.54,0.86408,0.61387,0.8931,0.78677,0.73641,0.78481,0.60186,0.76536,0.56991,0.87718,0.005149,0.005149,0.005149
51,3998.96,0.86093,0.6139,0.8935,0.7964,0.7356,0.78488,0.60332,0.76302,0.56975,0.87631,0.00505,0.00505,0.00505
52,4077.45,0.86824,0.6168,0.89376,0.78386,0.74813,0.78864,0.60568,0.76188,0.56741,0.87567,0.004951,0.004951,0.004951
53,4156.19,0.86164,0.61263,0.89236,0.77609,0.74587,0.78402,0.60487,0.75436,0.56577,0.87529,0.004852,0.004852,0.004852
54,4234.02,0.85859,0.61187,0.89294,0.78853,0.74425,0.78814,0.60517,0.75492,0.56155,0.87604,0.004753,0.004753,0.004753
55,4312.62,0.85636,0.60897,0.89178,0.78152,0.75126,0.78985,0.60712,0.75236,0.56071,0.87529,0.004654,0.004654,0.004654
56,4390.98,0.85429,0.60784,0.89196,0.79844,0.74705,0.79093,0.60913,0.75298,0.56089,0.8755,0.004555,0.004555,0.004555
57,4467.52,0.84727,0.60528,0.89119,0.79247,0.75114,0.79242,0.61155,0.7481,0.55872,0.87414,0.004456,0.004456,0.004456
58,4544.87,0.85466,0.60726,0.8907,0.79606,0.74996,0.79364,0.61238,0.75012,0.55976,0.87441,0.004357,0.004357,0.004357
59,4623.26,0.8504,0.60672,0.89101,0.80296,0.74746,0.79488,0.61138,0.74821,0.55748,0.87413,0.004258,0.004258,0.004258
60,4700.48,0.84717,0.60485,0.88994,0.80765,0.74527,0.79336,0.61267,0.74873,0.55922,0.87387,0.004159,0.004159,0.004159
61,4779.18,0.84683,0.60155,0.88939,0.80418,0.74204,0.79463,0.61438,0.74635,0.55811,0.87341,0.00406,0.00406,0.00406
62,4857.37,0.84227,0.60207,0.89051,0.79576,0.74618,0.79228,0.61473,0.74462,0.55535,0.87334,0.003961,0.003961,0.003961
63,4935.98,0.84529,0.601,0.88897,0.8028,0.74156,0.79437,0.61492,0.74489,0.55516,0.87269,0.003862,0.003862,0.003862
64,5014.4,0.84199,0.59886,0.8885,0.79919,0.75564,0.79638,0.61612,0.74118,0.55348,0.87234,0.003763,0.003763,0.003763
65,5092.81,0.83963,0.59699,0.88856,0.79922,0.74723,0.79426,0.61418,0.74401,0.55311,0.87259,0.003664,0.003664,0.003664
66,5170.96,0.83518,0.59559,0.8884,0.79974,0.74485,0.79472,0.61703,0.73978,0.55141,0.87211,0.003565,0.003565,0.003565
67,5249.56,0.83598,0.59613,0.8876,0.80243,0.75027,0.79552,0.61824,0.73979,0.55062,0.8722,0.003466,0.003466,0.003466
68,5327.36,0.83549,0.59685,0.88824,0.79908,0.7512,0.79953,0.61776,0.73936,0.55062,0.87191,0.003367,0.003367,0.003367
69,5404.93,0.83425,0.59382,0.88684,0.81371,0.74125,0.79956,0.62021,0.73953,0.55099,0.8717,0.003268,0.003268,0.003268
70,5482.44,0.83067,0.59157,0.88618,0.81928,0.7416,0.79903,0.62059,0.73862,0.54973,0.87153,0.003169,0.003169,0.003169
71,5555.69,0.82862,0.59005,0.88673,0.80693,0.74338,0.79761,0.62092,0.73705,0.54852,0.87167,0.00307,0.00307,0.00307
72,5630.81,0.8298,0.59046,0.88554,0.81078,0.74548,0.79818,0.62201,0.73473,0.54718,0.87082,0.002971,0.002971,0.002971
73,5707.19,0.82727,0.59064,0.88668,0.80613,0.75253,0.80141,0.62357,0.73301,0.54656,0.87031,0.002872,0.002872,0.002872
74,5785.1,0.82615,0.58896,0.88608,0.80972,0.7477,0.79837,0.62176,0.73332,0.54694,0.87064,0.002773,0.002773,0.002773
